word,category,meanHappiness,meanAnger,meanSadness,meanFear,meanDisgust
trawa,U,4.5,1.2307693,1.1153846,1.1538461,1.5384616
skutkować,U,2.3461537,1.7692307,1.8076923,2.5384614,1.5769231
piwo,U,4.6153846,1.3076923,1.4615384,1.4615384,1.6923077
zagazować,U,1.0769231,4.1538463,4.5,4.3846154,4.8461537
ambicja,U,4.1153846,2,1.5384616,2.4615386,1.5384616
uprawa,U,2.8846154,1.2692307,1.3076923,1.6538461,1.2307693
aktywność,U,4.923077,1.4230769,1.3076923,1.6923077,1.1153846
wrażliwy,U,3.4615386,1.4615384,2.7692308,2.3461537,1.3461539
prowadzenie,U,3.5384614,1.5384616,1.1153846,2.3461537,1.2307693
czarny,U,2,1.8846154,2.9230769,2.5,1.8846154
dzielić,U,3.5769231,1.8076923,1.9615384,1.5384616,1.1538461
torfowisko,U,2.1923077,1.6153846,1.4615384,2.1153846,2.1923077
umierać,U,1,3.2692308,5.769231,4.6153846,2.2692308
plotkarski,U,1.3461539,4.1153846,2.1538463,2.4230769,4.1153846
budować,U,4.3461537,1.3076923,1.5,2.1153846,1.1538461
trend,U,1.9615384,2.6153846,1.6923077,1.8076923,2.2692308
euforyczny,U,4.6923075,1.3461539,1.3076923,1.4230769,1.1538461
córka,U,4.5384617,1.3846154,1.4615384,1.9615384,1.1153846
znalezisko,U,4.3076925,1.3076923,1.3846154,2.4230769,1.5
wypadać,U,1.5769231,2.9615386,3.1923077,3.3076923,1.6923077
powstanie,U,2.5769231,2.1923077,2.7692308,3.2692308,1.6153846
nawiązywać,U,3.2692308,1.2692307,1.3461539,1.8846154,1.1923077
światło,U,4.3846154,1.4615384,1.2307693,1.4230769,1.1923077
rozkładać,U,1.7692307,1.6538461,1.6538461,1.6153846,2.2307692
zdenerwowany,U,1.1538461,3.9230769,2.8846154,3.8076923,2.2692308
spasować,U,1.6538461,2.8076923,3,2,1.8846154
bukiet,U,5,1.4615384,1.6153846,1.2307693,1.1153846
szmata,U,1.0384616,4.3846154,2.7692308,1.9230769,4.423077
