word,meanAnger
tac,1.8846154
przecin,1.6153846
opisyw,1.6153846
obiekt,1.6538461
leksykon,1.4615384
bater,1.7307693
lukratywn,1.5769231
opt,1.3076923
kierownic,1.4230769
kartk,1.2307693
prosz,1.6538461
pomp,1.2307693
ślad,1.6538461
pensum,1.7307693
miedzian,1.3846154
krzesło,1.4615384
łopian,1.2692307
dialekt,1.4615384
stempel,1.5769231
oś,1.5384616
sto,1.1923077
stosow,1.5384616
pojemnik,1
przykład,1.5
zastosow,1.2692307
kciuk,1.3461539
jeździeck,1.2692307
opactwo,1.2692307
podłoż,1.3846154
tuzin,1.1923077
znacz,1.3461539
zakres,1.9615384
wind,1.3076923
tkacz,1.1538461
proponow,1.2692307
staw,1.2692307
precyzow,1.5384616
produkcyjn,1.4230769
postępow,1.6538461
syt,1.4230769
dywan,1.1538461
cienist,1.3076923
mimoz,1.7692307
mak,1.1153846
bumerang,1.3461539
torb,1.2692307
gęś,1.0769231
notow,2.0384614
afekt,2.0384614
gąbk,1.0384616
kogut,1.3461539
szpar,1.5
odbitk,1.2307693
ilość,1.3846154
kość,1.3846154
pędzel,1.2692307
mark,1.5384616
siad,1.0769231
obserwow,1.3461539
udziel,1.7307693
szal,1.1538461
wytwarz,1.2307693
amatorsk,1.8461539
rodz,1.5
zebr,1.1923077
wor,1.3076923
szpulk,1.1538461
grab,1.2692307
żółtko,1.1538461
grzebień,1.6538461
ręk,1.0384616
lokaliz,1.1538461
obszar,1.4615384
metal,1.7692307
elementarz,1.4615384
przybudówk,1.7307693
silnik,1.4230769
girland,1.3461539
republikańsk,1.5
dziedzin,1.5
fasad,1.4230769
kalarep,1.3461539
stron,1.8846154
określ,1.8846154
lup,1.2962962
pas,1.8888888
porto,1.5925926
ramp,1.1481482
szczotkow,1.5185186
lin,1.1481482
minimaln,1.7407408
adiutant,1.4814814
kiosk,1.5555556
sitko,1.5925926
pęs,1.3703704
sień,1.2962962
suszyć,1.7777778
komod,1.5185186
twierdz,1.8518518
dyn,1.4814814
zaopatryw,1.5185186
szczudło,1.4814814
but,1.3703704
pięt,1.5185186
cebul,1.6666666
odczyt,1.4814814
gum,1.4444444
groch,1.7037038
lad,1.5185186
sztuć,1.2592592
widelec,1.4444444
stereo,1.3333334
bodziec,2.1851852
rachun,3
tropik,1.7037038
łączyć,1.6666666
biskup,2.8888888
bogat,2.3703704
mysz,1.8518518
szczęk,1.6666666
ociek,1.925926
nabyt,1.6666666
mat,1.4444444
przebyw,1.7037038
gorączk,3.4444444
toleranc,2.2222223
ludz,2.7407408
japo,1.6666666
rozsądn,1.5185186
ożywion,1.7407408
motorower,1.7407408
liczb,1.7777778
kufer,1.3333334
kon,1.8148148
podejmow,1.7777778
świ,2.1851852
bezwartoś,3
buk,1.5185186
gr,2.0370371
odwag,1.8518518
drań,4.5925927
świerk,1.5555556
mur,2.5925925
rząd,3.5185184
wino,1.8888888
bóbr,1.2962962
ogień,2.3703704
opi,2.2592592
sur,3.9629629
zatwierdz,1.5925926
czarnuch,3.7777777
spojrz,2
nazyw,1.5555556
spad,2.2592592
brat,2.4814816
incydent,2.7777777
sankcjonow,3.1111112
kicz,2.925926
kur,1.4074074
dawk,2.1111112
honor,1.6666666
marzyć,1.3703704
katastrof,3.5925925
zamieszk,4.037037
kochan,2.8148148
wyrok,3.2222223
witaln,1.3333334
mówc,1.8518518
symfo,1.4444444
kan,1.6666666
niełask,3.1851852
brytyjsk,1.5185186
saksofon,1.7777778
pragnąć,2
soczewk,1.4814814
zaniedban,3.4074075
alej,1.3703704
liberaln,2.1851852
wykazyw,1.7407408
malarz,1.5555556
ciśn,2.2592592
brąz,1.7777778
rodzinn,1.925926
zwłok,1.925926
kaktus,1.8518518
makaron,1.2222222
plan,1.5555556
ufn,1.5555556
cel,2.925926
nerwic,4.111111
plakat,2.074074
wiśn,1.1851852
środowisko,1.7037038
ser,1.3703704
mist,1.4444444
oset,2.1111112
dziewczyn,1.6296296
zatrudn,2.0370371
rob,1.8888888
koz,1.4444444
hipot,2.2592592
pielgrzymow,1.1851852
oszust,5.5925927
miłostk,1.925926
załatw,1.925926
młot,2.2222223
cygaro,2.074074
wpadk,3.6296296
kochank,3.7037036
drog,1.7777778
dzierżaw,1.962963
miejs,1.5555556
ram,1.4814814
udowadn,2.3703704
otwier,1.3703704
awersj,3.2962964
czeremch,1.3703704
kręgiel,1.3333334
zaginion,3.5185184
artyst,1.925926
nadmorsk,1.3703704
konop,2
okaleczon,3.4444444
krzepk,1.4074074
spodn,1.5925926
świad,1.925926
przedwczesn,3.2592592
żagiel,1.2962962
uzupełn,1.4444444
kosz,1.6666666
miecz,2.4444444
dowodz,1.6666666
premier,1.2962962
przekazyw,1.5555556
ras,2.1851852
jasność,1.6296296
źrebi,1.2222222
wąwóz,1.4444444
kosmet,1.4444444
produkow,1.5555556
gnęb,5.3703704
szkoł,2.8148148
maskow,2.6666667
wełnian,1.5555556
schodz,1.7037038
chwal,1.8888888
okrężn,2.6666667
bąk,1.7777778
fartuch,1.6296296
bron,2.4444444
spójn,1.2592592
wgniecion,3.2592592
przep,2.2222223
obłędn,1.7407408
sand,1.3703704
strzel,3.6296296
litość,2.8148148
dochód,1.8888888
zatrzymyw,2.8148148
małp,1.3703704
komizm,1.7407408
rezygn,3.7037036
uzasadn,2.0370371
zbankrutow,4.851852
unik,3.3703704
kołys,1.4814814
czep,1.7407408
przepad,2.3333333
fuzj,1.7407408
stołówk,1.3703704
rezygnow,3.5555556
bur,2.5185184
wann,1.2592592
bezsiln,4.888889
pieniądz,1.8888888
ćwiczyć,1.962963
kas,2.1111112
twarz,1.6296296
ojczyzn,1.7777778
życz,1.1851852
jamnik,1.8888888
łap,2.1111112
nałóg,4.111111
pozwal,1.5925926
nienawidz,5.037037
tablic,2.0370371
podniecając,1.4444444
oko,1.3333334
ocean,1.4074074
akrobat,1.4074074
ascez,1.962963
orchide,1.5185186
potwierdz,1.4074074
arm,2.2222223
żyraf,1.2592592
biec,1.925926
minister,3
autonom,1.8518518
dyspozycyjn,1.962963
