word,meanAnger
bezgłowy,1.962963
ocet,1.5555556
stęchły,2.1851852
cuchnący,3.1851852
gnojówka,1.7037038
wymiotować,2.9230769
pająk,1.9230769
żaba,1.3461539
zgnilizna,2.3846154
odrażający,2.3846154
zezować,1.6538461
pluć,4
gówno,3.3333333
odpady,3.1851852
padlina,2.4814816
gnić,2.6296296
larwa,2.2692308
gorzki,2.1923077
śluz,1.5
obwisły,3.1153846
żołądek,1.4615384
ślimak,1.5384616
spleśniały,2.8461537
ohydny,3.0384614
robak,2.6153846
brodawka,2.2307692
gardziel,1.9615384
obślinić,2
gołąb,1.7307693
zepsucie,2.5769231
żółć,1.9230769
ważka,1.5769231
brudny,2.6923077
śledź,1.1153846
celebryta,2.6538463
ścieki,2
wymię,1.5384616
czopek,2.5384614
szczecina,1.9230769
obrzydliwy,3.0384614
obrzydzenie,3.2692308
wstręt,3.1153846
pluskwa,3.1923077
jelito,1.5769231
obskurny,2.7777777
tampon,2.148148
papieros,3.148148
frakcja,1.8148148
podkreślać,1.7037038
belka,1.6296296
czapla,1.4444444
kolebka,1.4814814
profil,1.6296296
filtr,1.5185186
chorągiew,1.2222222
makulatura,1.5925926
segregator,1.6666666
prześcieradło,1.2962962
powieka,1.4814814
ruchliwy,1.3846154
golarka,2.0769231
pióro,1.3461539
część,1.5769231
gleba,1.8846154
miotła,1.6923077
dzbanek,1.3461539
rzecz,1.4230769
punkt,1.6923077
wata,1.6153846
schody,2
obrót,1.4230769
wariant,1.6923077
gazeta,1.9230769
drobiowy,1.1923077
metr,1.1538461
kowadło,1.4615384
masywny,1.7692307
zapotrzebowanie,1.4615384
wytwórca,1.3461539
krępy,1.5384616
kubek,1.1923077
kanon,1.7307693
murzyn,1.5769231
sufit,1.3076923
regał,1.1923077
kostka,1.3076923
przedmiot,1.2692307
magnes,1.3461539
biblijny,1.5
stan,1.4615384
ręczny,1.3461539
ścięgno,1.5925926
atlas,1.2222222
flaming,1.2962962
słowotwórczy,1.1481482
wiadro,1.3333334
kos,1.1111112
hebel,1.7407408
gromadny,1.3703704
wentylować,1.2962962
pokrywka,1.2962962
karafka,1.2222222
atramentowy,1.5185186
traszka,1.1851852
wzgląd,1.5185186
zając,1.2592592
miesiąc,1.6666666
struktura,1.3703704
przesuwać,1.5925926
mata,1.2962962
dźwignia,1.4814814
skrzynia,1.4074074
ustalenie,1.4444444
ambasada,1.3703704
łyżka,1.3703704
zdanie,1.2222222
klamka,1.4074074
owies,1.2222222
akcent,1.4814814
kurtka,1.1851852
nos,1.6666666
ramię,1.2222222
opat,1.5555556
lufcik,1.3846154
nadawca,1.4615384
odstęp,1.7692307
tematyczny,1.5
adresat,1.5769231
pastor,1.4230769
sygnalizator,1.9615384
traktor,1.5769231
stalówka,1.3846154
prezydium,1.9615384
kamizelka,1.3076923
fasola,1.6538461
nazwisko,1.4615384
borsuk,1.5
linijka,1.7307693
brzmieć,1.6538461
przedział,1.4615384
karton,1.8461539
przesiewać,1.7307693
koparka,1.4230769
proso,1.4230769
sylaba,1.4615384
dotyczyć,1.5384616
ceglany,1.2307693
kłaść,1.5
prostopadłościan,1.3846154
pomieszczenie,1.5769231
położenie,1.6538461
ujmować,1.5
archiwum,1.3846154
intonować,1.3846154
taca,1.8846154
przecinek,1.6153846
opisywać,1.6153846
obiekt,1.6538461
leksykon,1.4615384
bateria,1.7307693
lukratywny,1.5769231
optyczny,1.3076923
kierownica,1.4230769
kartka,1.2307693
proszek,1.6538461
pompa,1.2307693
ślad,1.6538461
pensum,1.7307693
miedziany,1.3846154
krzesło,1.4615384
łopian,1.2692307
dialekt,1.4615384
stempel,1.5769231
oś,1.5384616
stołek,1.1923077
stosować,1.5384616
pojemnik,1
przykładowy,1.5
zastosowanie,1.2692307
kciuk,1.3461539
jeździecki,1.2692307
opactwo,1.2692307
podłoże,1.3846154
tuzin,1.1923077
